Timestamp,date,time_of_day,rest_level,stress_level,overwhelm,caffeine,sleep_amount,skew
3/26/2025 19:50:51,3/26/2025,7 PM,Neutral,Neutral,Neutral,Yes,7-8 hours,Delete! This is a test run
3/27/2025 9:10:47,3/27/2025,9 AM,Agree,Disagree,Disagree,No,7-8 hours,
3/27/2025 14:01:00,3/27/2025,2 PM,Agree,Disagree,Disagree,Yes,7-8 hours,
3/27/2025 21:07:41,3/27/2025,7 PM,Agree,Neutral,Neutral,Yes,7-8 hours,Completed at 9 PM instead of 7 because of chorus
3/27/2025 22:09:51,3/27/2025,10 PM,Agree,Neutral,Neutral,Yes,7-8 hours,
3/28/2025 9:10:37,3/28/2025,9 AM,Agree,Neutral,Neutral,No,7-8 hours,
3/28/2025 14:01:25,3/28/2025,2 PM,Neutral,Neutral,Neutral,Yes,7-8 hours,
3/28/2025 19:00:49,3/28/2025,7 PM,Agree,Neutral,Neutral,Yes,7-8 hours,
3/28/2025 22:03:36,3/28/2025,10 PM,Neutral,Neutral,Neutral,Yes,7-8 hours,
3/31/2025 9:10:42,3/31/2025,9 AM,Disagree,Neutral,Neutral,No,5-6 hours,
3/31/2025 14:15:46,3/31/2025,2 PM,Neutral,Neutral,Neutral,No,5-6 hours,
3/31/2025 19:01:06,3/31/2025,7 PM,Neutral,Agree,Agree,No,5-6 hours,
3/31/2025 22:09:58,3/31/2025,10 PM,Neutral,Agree,Agree,No,5-6 hours,
4/1/2025 9:12:10,4/1/2025,9 AM,Disagree,Neutral,Neutral,No,7-8 hours,
4/1/2025 14:19:29,4/1/2025,2 PM,Neutral,Agree,Neutral,Yes,7-8 hours,
4/1/2025 19:01:49,4/1/2025,7 PM,Neutral,Agree,Agree,Yes,7-8 hours,I almost had an anxiety attack today during Japanese lab when they said we’d have to do skits and I’m stressed about my test tomorrow. I also think I did bad on a linguistics quiz. 
4/1/2025 22:01:01,4/1/2025,10 PM,Neutral,Strongly Agree,Strongly agree,Yes,7-8 hours,Japanese test studying made me cry
4/2/2025 9:15:22,4/2/2025,9 AM,Disagree,Agree,Agree,No,7-8 hours,
4/2/2025 14:00:22,4/2/2025,2 PM,Neutral,Agree,Neutral,Yes,7-8 hours,
4/2/2025 19:00:41,4/2/2025,7 PM,Neutral,Agree,Agree,Yes,7-8 hours,
4/2/2025 22:03:41,4/2/2025,10 PM,Neutral,Neutral,Neutral,Yes,7-8 hours,
4/3/2025 9:15:30,4/3/2025,9 AM,Neutral,Neutral,Neutral,No,7-8 hours,
4/3/2025 13:18:01,4/3/2025,2 PM,Neutral,Neutral,Neutral,No,7-8 hours,Taken at 1:15 due to class 
4/3/2025 18:25:44,4/3/2025,7 PM,Neutral,Neutral,Agree,No,7-8 hours,Completed at 6:30 due to chorus
4/4/2025 9:19:58,4/4/2025,9 AM,Disagree,Neutral,Neutral,No,5-6 hours,
4/4/2025 14:00:37,4/4/2025,2 PM,Neutral,Neutral,Neutral,Yes,5-6 hours,
4/4/2025 14:01:13,4/3/2025,10 PM,Neutral,Neutral,Neutral,No,7-8 hours,Taken after the fact due to busy evening 
4/4/2025 19:10:08,4/4/2025,7 PM,Neutral,Agree,Neutral,Yes,5-6 hours,
4/4/2025 22:01:02,4/4/2025,10 PM,Neutral,Neutral,Neutral,Yes,5-6 hours,